#romname;sortingtitle;seriestitle(optional)

mk;Mortal Kombat 1;
mk2;Mortal Kombat 2;
mk3;Mortal Kombat 3a;
umk3;Mortal Kombat 3b;
mk4;Mortal Kombat 4;

starwars;Star Wars 1;Star Wars Series:
esb;Star Wars 2;Star Wars Series:
jedi;Star Wars 3;Star Wars Series:

1945kiii;1945A;
s1945;1945B;
s1945p;1945C;
s1945ii;1945D;
s1945iii;1945E;

openice;NHL;

aliens;Alien2;
alien3;Alien3;
avsp;Alien4;

arkanoid;Arkanoid1;
arknoid2;Arkanoid2;
arkatour;Arkanoid3;
arkretrn;Arkanoid4;

bsktball;Atari Basketball;

bombjack;Bombjack1;
bjtwin;Bombjack2;

sbrkout;Breakout2;

firetrap;Crazy Climber 3;

stargate;Defender2;

donpachi;Donpachi1;
ddonpach;Donpachi2;

dkong;Donkey Kong 1a;
dkongj;Donkey Kong 1b;
dkongpe;Donkey Kong 1c;
dkongx;Donkey Kong 2a;
ckongpt2;Donkey Kong 2b;
dkongjr;Donkey Kong 3a;
dkongjrj;Donkey Kong 3b;
dkong3;Donkey Kong 4a;
dkong3j;Donkey Kong 4b;

ddragon;Double Dragon 1;
ddragon2;Double Dragon 2;
ddragon3;Double Dragon 3;
doubledr;Double Dragon 4;

eswat;ESWAT1;
mt_eswat;ESWAT2;

f1gpstar;Grand Prix Star 1;
f1gpstr2;Grand Prix Star 2;

f1en;F1 Exhaust Note;

ghouls;Ghosts'n Goblins 2;

goldnaxe;Golden Axe 1;
ga2;Golden Axe 2;
gaxeduel;Golden Axe 3;

gt3d;Golden Tee 1;
gt2k;Golden Tee 2;
gtfore01;Golden Tee 3;
gtfore06;Golden Tee 6;

gunforce;Gunforce1;
gunforc2;Gunforce2;

hangon;Hang On 1;
hangonjr;Hang On 2;
shangon;Hang On 3;

ikari;Ikari1;
ikari3;Ikari2;

chainrec;Magical Drop 0;
magdrop;Magical Drop 1;
magdrop2;Magical Drop 2;
magdrop3;Magical Drop 3;

mario;Mario1;
suprmrio;Mario2;
skatekds;Mario3;
pc_smb;Mario4;
pc_smb2;Mario5;
pc_smb3;Mario6;

megaman;Mega Man 1;

mslugx;Metal Slug 2X;
